AccelX:9.61,AccelY:-0.74,AccelZ:3.57, GyroX:-0.59,GyroY:-0.24,GyroZ:-0.06
AccelX:10.15,AccelY:-0.41,AccelZ:2.94, GyroX:-0.55,GyroY:-0.27,GyroZ:0.00
AccelX:9.65,AccelY:-0.50,AccelZ:2.86, GyroX:-0.61,GyroY:-0.17,GyroZ:-0.02
AccelX:10.05,AccelY:-0.27,AccelZ:2.73, GyroX:-0.58,GyroY:-0.15,GyroZ:-0.02
AccelX:10.27,AccelY:-0.40,AccelZ:2.42, GyroX:-0.58,GyroY:-0.04,GyroZ:-0.06
AccelX:9.35,AccelY:-0.10,AccelZ:2.71, GyroX:-0.69,GyroY:0.24,GyroZ:-0.05
AccelX:9.72,AccelY:0.15,AccelZ:3.96, GyroX:-0.62,GyroY:0.30,GyroZ:-0.12
AccelX:9.66,AccelY:0.08,AccelZ:4.17, GyroX:-0.66,GyroY:0.23,GyroZ:-0.01
AccelX:9.31,AccelY:0.19,AccelZ:3.73, GyroX:-0.70,GyroY:0.09,GyroZ:-0.02
AccelX:9.95,AccelY:0.08,AccelZ:2.85, GyroX:-0.59,GyroY:-0.10,GyroZ:-0.06
AccelX:9.86,AccelY:0.08,AccelZ:2.84, GyroX:-0.59,GyroY:-0.06,GyroZ:-0.06
AccelX:9.94,AccelY:0.20,AccelZ:2.64, GyroX:-0.65,GyroY:-0.01,GyroZ:-0.00
AccelX:10.18,AccelY:0.13,AccelZ:2.56, GyroX:-0.67,GyroY:-0.02,GyroZ:0.03
AccelX:10.05,AccelY:-0.43,AccelZ:3.04, GyroX:-0.63,GyroY:-0.69,GyroZ:0.07
AccelX:9.94,AccelY:-0.37,AccelZ:2.69, GyroX:-0.60,GyroY:-0.08,GyroZ:-0.03
AccelX:10.29,AccelY:-0.47,AccelZ:1.80, GyroX:-0.63,GyroY:0.58,GyroZ:-0.07
AccelX:9.82,AccelY:-0.24,AccelZ:3.13, GyroX:-0.62,GyroY:-0.65,GyroZ:0.05
AccelX:9.80,AccelY:-0.21,AccelZ:3.17, GyroX:-0.64,GyroY:-0.00,GyroZ:-0.06
AccelX:10.01,AccelY:-0.26,AccelZ:2.95, GyroX:-0.68,GyroY:0.04,GyroZ:-0.09
