,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Mode
96,10.96,0.18,2.54,-0.45,-0.07,0.12,0.0
97,11.18,-0.54,1.6,-0.49,-0.02,0.07,0.0
98,9.07,-0.91,2.2,-0.42,0.08,-0.0,0.0
99,10.47,-1.29,3.05,-0.71,0.11,-0.23,0.0
100,10.79,-0.49,1.49,-0.85,-0.17,-0.07,0.0
101,9.36,0.02,2.53,-0.61,0.0,-0.09,0.0
102,10.43,0.33,2.87,-0.4,0.33,0.26,0.0
103,10.8,0.19,2.57,-0.44,0.21,0.21,0.0
104,11.35,-0.8,1.43,-0.47,-0.12,-0.06,0.0
105,10.41,-1.49,3.14,-0.8,0.17,-0.24,0.0
106,11.43,-0.75,2.12,-0.46,-0.07,-0.17,0.0
107,11.21,-0.61,1.87,-0.88,-0.14,-0.04,0.0
108,9.13,-0.02,2.82,-0.59,0.17,-0.08,0.0
109,10.62,-0.02,3.15,-0.35,0.02,0.2,0.0
110,11.08,-0.78,1.87,-0.61,-0.02,0.01,0.0
111,9.34,-0.67,2.56,-0.52,0.15,-0.07,0.0
112,10.58,-1.13,3.23,-0.85,0.05,-0.25,0.0
113,9.08,-0.03,2.78,-0.54,0.11,-0.04,0.0
114,10.41,0.2,3.06,-0.32,0.12,0.21,0.0
115,10.65,0.17,2.88,-0.47,0.14,0.12,0.0
116,8.86,-0.77,2.87,-0.46,0.14,0.01,0.0
117,9.53,-0.72,3.13,-0.86,0.03,-0.17,0.0
118,10.3,-1.08,3.22,-0.83,0.19,-0.22,0.0
119,11.26,-0.43,1.81,-0.83,-0.13,-0.08,0.0
120,9.36,0.31,2.78,-0.57,0.14,-0.05,0.0
121,10.68,-0.14,2.89,-0.47,0.05,0.09,0.0
122,9.52,-0.78,2.83,-0.59,0.2,-0.03,0.0
123,10.62,-1.06,3.18,-0.79,0.1,-0.24,0.0
124,11.43,-0.68,2.22,-0.48,-0.17,-0.0,0.0
125,11.26,-0.14,2.06,-0.8,-0.06,-0.07,0.0
126,9.19,0.06,2.84,-0.57,0.19,-0.06,0.0
127,9.95,0.34,3.66,-0.51,0.22,0.15,0.0
128,9.22,-0.55,2.74,-0.44,0.16,0.01,0.0
129,10.68,-0.97,3.06,-0.83,0.14,-0.22,0.0
