,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Mode
394,9.49,0.61,4.21,-0.6,0.01,-0.02,2.0
395,9.5,0.62,4.29,-0.56,-0.1,-0.01,2.0
396,9.58,0.67,3.89,-0.54,-0.14,-0.01,2.0
397,9.75,0.59,3.57,-0.57,-0.0,-0.02,2.0
398,9.68,0.55,3.68,-0.59,-0.11,-0.03,2.0
399,9.79,0.58,3.6,-0.59,-0.09,-0.04,2.0
400,9.68,0.57,3.44,-0.61,-0.01,-0.04,2.0
401,9.88,0.67,2.89,-0.61,0.08,-0.04,2.0
402,9.58,0.7,3.33,-0.56,0.17,-0.03,2.0
403,9.73,0.6,3.42,-0.52,-0.08,0.06,2.0
404,9.67,0.57,3.28,-0.58,-0.2,0.03,2.0
405,9.8,0.61,2.84,-0.52,-0.23,0.07,2.0
406,10.14,0.37,2.92,-0.63,0.05,0.02,2.0
407,10.05,0.44,2.39,-0.66,0.23,-0.0,2.0
408,9.52,0.51,4.14,-0.66,0.31,-0.07,2.0
409,9.43,0.49,4.46,-0.62,0.22,-0.04,2.0
410,9.39,0.83,4.93,-0.59,0.2,-0.07,2.0
411,8.83,0.8,5.64,-0.6,0.16,-0.01,2.0
412,9.53,0.58,4.52,-0.61,-0.18,-0.05,2.0
413,9.36,0.64,4.45,-0.59,-0.12,-0.06,2.0
414,9.32,0.72,4.38,-0.59,-0.15,-0.08,2.0
415,9.36,0.81,3.9,-0.56,-0.15,-0.07,2.0
416,9.47,0.65,3.96,-0.58,-0.25,-0.04,2.0
417,9.66,0.79,3.41,-0.65,0.04,-0.0,2.0
418,8.81,0.45,6.03,-0.66,0.17,-0.04,2.0
419,9.31,0.6,4.42,-0.52,0.09,-0.07,2.0
420,9.43,0.73,4.16,-0.52,0.09,-0.03,2.0
421,8.86,0.48,5.95,-0.63,0.12,-0.04,2.0
422,9.22,0.72,4.77,-0.56,-0.03,-0.01,2.0
423,9.18,0.76,5.1,-0.57,0.04,-0.02,2.0
424,9.41,0.68,4.17,-0.54,-0.18,-0.05,2.0
425,9.53,0.79,4.07,-0.6,-0.07,-0.05,2.0
426,9.53,0.64,3.9,-0.59,-0.01,0.0,2.0
427,9.56,1.21,3.93,-0.72,0.07,-0.02,2.0
428,9.31,0.55,4.37,-0.59,-0.22,-0.0,2.0
429,9.51,0.57,3.9,-0.59,-0.25,-0.02,2.0
430,9.63,0.59,3.31,-0.68,0.2,-0.04,2.0
431,9.95,0.44,2.88,-0.62,-0.03,-0.03,2.0
432,9.85,0.64,2.85,-0.63,-0.15,-0.02,2.0
433,9.96,0.61,2.91,-0.6,-0.11,0.01,2.0
434,9.96,0.48,2.72,-0.63,-0.05,-0.01,2.0
435,9.84,0.54,2.81,-0.61,-0.1,-0.01,2.0
436,10.01,0.48,2.65,-0.59,0.02,-0.02,2.0
437,9.79,0.58,3.72,-0.55,0.38,-0.01,2.0
438,9.52,0.58,4.26,-0.6,0.22,-0.02,2.0
439,9.28,0.47,4.64,-0.64,0.2,-0.07,2.0
440,9.51,0.59,3.64,-0.65,-0.27,-0.04,2.0
441,9.85,0.61,3.47,-0.65,-0.33,-0.04,2.0
442,9.79,0.64,3.13,-0.63,-0.17,-0.02,2.0
443,9.88,0.69,2.88,-0.64,-0.06,-0.02,2.0
444,9.85,0.68,2.87,-0.61,0.08,-0.01,2.0
445,9.58,0.41,3.87,-0.61,-0.14,-0.02,2.0
446,9.78,0.36,3.73,-0.63,-0.15,-0.02,2.0
447,9.66,0.29,3.7,-0.6,-0.25,0.01,2.0
448,9.74,0.33,3.48,-0.62,-0.19,0.01,2.0
449,9.82,0.42,3.38,-0.61,-0.2,-0.0,2.0
450,9.92,0.47,3.35,-0.65,-0.04,-0.04,2.0
451,9.83,0.36,3.05,-0.66,0.0,-0.07,2.0
452,9.86,0.4,2.87,-0.64,-0.03,-0.06,2.0
453,10.0,0.43,2.85,-0.61,0.05,-0.04,2.0
454,9.59,0.53,3.72,-0.63,-0.18,-0.03,2.0
455,9.77,0.56,3.75,-0.62,-0.19,-0.02,2.0
456,9.74,0.61,3.52,-0.62,-0.19,-0.02,2.0
457,9.85,0.64,3.46,-0.63,-0.22,-0.02,2.0
458,10.0,0.63,2.79,-0.68,-0.12,-0.04,2.0
459,10.04,0.53,2.85,-0.67,-0.11,-0.05,2.0
460,9.94,0.55,2.51,-0.69,-0.11,-0.05,2.0
461,10.02,0.61,2.52,-0.64,-0.01,-0.04,2.0
462,9.77,0.44,3.5,-0.6,-0.25,0.01,2.0
463,9.7,0.42,3.52,-0.61,-0.17,0.0,2.0
464,9.71,0.43,3.51,-0.6,-0.22,0.0,2.0
465,9.82,0.43,2.97,-0.65,-0.06,-0.02,2.0
466,9.97,0.46,2.83,-0.69,-0.04,-0.04,2.0
467,9.43,0.73,4.4,-0.62,0.19,-0.04,2.0
468,9.77,0.51,3.25,-0.56,-0.12,-0.01,2.0
469,9.95,0.58,3.27,-0.58,-0.02,-0.03,2.0
470,9.87,0.43,2.96,-0.57,-0.04,-0.03,2.0
471,9.64,0.52,3.79,-0.67,0.39,-0.08,2.0
472,9.45,0.62,3.94,-0.72,0.33,-0.1,2.0
473,9.52,0.64,4.13,-0.7,0.27,-0.09,2.0
474,9.82,0.64,3.42,-0.62,-0.09,-0.03,2.0
475,9.79,0.73,3.27,-0.6,-0.07,-0.03,2.0
476,9.72,0.7,3.29,-0.58,-0.09,0.01,2.0
477,9.84,0.68,3.06,-0.57,-0.09,-0.01,2.0
478,9.9,0.76,2.7,-0.58,-0.05,-0.01,2.0
479,9.69,0.49,3.39,-0.64,-0.13,-0.06,2.0
480,9.83,0.59,3.13,-0.64,-0.22,-0.06,2.0
481,9.89,0.5,3.06,-0.62,-0.2,-0.04,2.0
482,9.96,0.65,2.79,-0.57,-0.11,-0.05,2.0
483,9.82,0.74,2.64,-0.58,-0.12,-0.07,2.0
484,10.11,0.69,2.57,-0.59,-0.07,-0.05,2.0
485,9.98,0.74,2.37,-0.59,-0.09,-0.04,2.0
486,9.85,0.76,2.31,-0.59,-0.12,-0.02,2.0
487,10.01,0.82,2.12,-0.59,-0.08,-0.01,2.0
488,10.13,0.74,2.08,-0.59,-0.05,-0.02,2.0
489,9.88,0.42,3.26,-0.59,0.59,-0.05,2.0
490,9.59,0.41,3.56,-0.57,0.52,-0.04,2.0
491,9.52,0.48,4.27,-0.62,0.33,-0.03,2.0
492,9.55,0.41,4.27,-0.62,0.0,-0.04,2.0
493,9.86,0.57,3.27,-0.65,-0.23,-0.05,2.0
494,9.82,0.69,2.89,-0.66,-0.26,-0.06,2.0
495,9.97,0.68,2.59,-0.66,-0.22,-0.07,2.0
496,9.97,0.7,2.74,-0.67,-0.11,-0.06,2.0
497,10.01,0.76,2.62,-0.67,-0.1,-0.06,2.0
498,10.0,0.75,2.16,-0.6,0.28,-0.04,2.0
499,10.05,0.76,1.84,-0.55,-0.02,-0.03,2.0
500,10.09,0.71,2.14,-0.57,0.37,-0.04,2.0
501,9.71,0.81,3.43,-0.67,-0.3,-0.03,2.0
502,9.97,0.76,3.05,-0.64,-0.25,-0.03,2.0
503,9.99,0.79,2.42,-0.61,0.03,-0.02,2.0
504,9.73,1.06,3.33,-0.6,-0.08,-0.03,2.0
505,9.8,0.93,3.09,-0.67,-0.12,-0.03,2.0
506,9.96,0.94,2.86,-0.69,-0.16,-0.02,2.0
507,9.89,0.98,2.6,-0.65,-0.12,-0.02,2.0
508,9.98,0.89,2.72,-0.65,-0.01,-0.0,2.0
509,9.98,0.89,2.64,-0.59,0.1,-0.01,2.0
510,9.79,0.53,3.58,-0.58,-0.2,-0.01,2.0
511,9.74,0.59,3.35,-0.59,-0.18,-0.01,2.0
512,9.75,0.56,3.32,-0.6,-0.16,-0.0,2.0
513,9.79,0.63,3.07,-0.59,-0.14,0.03,2.0
514,9.88,0.63,3.02,-0.61,-0.18,0.0,2.0
515,9.92,0.61,2.63,-0.62,-0.21,0.01,2.0
516,9.98,0.59,2.66,-0.65,-0.04,-0.01,2.0
517,9.92,0.73,2.24,-0.64,-0.04,-0.03,2.0
518,10.07,0.65,2.51,-0.65,0.11,-0.03,2.0
519,9.73,0.24,2.92,-0.6,-0.35,-0.02,2.0
520,10.01,0.33,2.79,-0.59,-0.17,-0.04,2.0
521,9.94,0.42,2.57,-0.54,-0.03,-0.04,2.0
522,9.96,0.48,2.5,-0.55,0.01,-0.05,2.0
523,9.94,0.52,2.75,-0.5,-0.13,0.01,2.0
524,9.81,0.48,2.56,-0.53,-0.07,-0.03,2.0
525,9.98,0.5,2.46,-0.56,-0.06,-0.03,2.0
526,10.14,0.47,2.02,-0.61,-0.06,-0.03,2.0
527,9.95,0.54,2.56,-0.64,0.09,-0.04,2.0
528,9.94,0.54,2.2,-0.61,0.37,-0.01,2.0
529,9.85,0.66,3.44,-0.74,0.24,-0.04,2.0
530,9.89,0.4,3.37,-0.54,-0.25,-0.01,2.0
531,9.69,0.43,3.27,-0.5,-0.24,-0.0,2.0
532,9.71,0.5,3.11,-0.5,-0.18,0.01,2.0
533,9.9,0.44,3.03,-0.5,-0.14,0.03,2.0
534,9.97,0.48,2.77,-0.43,-0.05,-0.02,2.0
535,10.01,0.53,2.32,-0.65,-0.16,-0.03,2.0
536,10.13,0.69,2.09,-0.75,0.13,-0.09,2.0
537,9.51,0.67,3.97,-0.78,0.55,-0.12,2.0
538,9.77,0.58,3.01,-0.57,-0.17,-0.03,2.0
539,9.79,0.46,2.96,-0.59,-0.1,-0.02,2.0
540,9.88,0.47,2.7,-0.53,0.06,-0.01,2.0
541,9.68,0.67,3.82,-0.58,-0.12,-0.01,2.0
542,9.7,0.58,3.35,-0.55,-0.15,0.01,2.0
543,9.79,0.54,3.25,-0.53,-0.15,-0.01,2.0
544,9.96,0.52,3.3,-0.49,-0.17,-0.0,2.0
545,9.8,0.42,2.97,-0.46,0.06,0.01,2.0
546,9.97,0.41,2.96,-0.47,0.08,-0.0,2.0
547,9.81,0.44,2.73,-0.53,0.14,-0.0,2.0
548,9.84,0.73,3.37,-0.57,-0.12,0.03,2.0
549,9.73,0.57,3.18,-0.49,-0.28,0.0,2.0
550,9.95,0.61,3.19,-0.51,-0.29,0.0,2.0
551,9.92,0.5,2.77,-0.47,-0.18,0.01,2.0
552,9.84,0.52,2.67,-0.49,-0.03,-0.01,2.0
553,9.85,0.6,2.68,-0.51,0.11,-0.04,2.0
554,9.7,0.74,3.79,-0.74,-0.06,-0.06,2.0
555,9.74,0.72,3.28,-0.54,-0.08,-0.03,2.0
556,9.87,0.68,2.93,-0.52,0.03,0.01,2.0
557,9.79,0.86,3.66,-0.6,-0.2,-0.09,2.0
558,9.69,0.91,3.3,-0.57,-0.1,-0.02,2.0
559,9.86,0.88,3.07,-0.6,-0.11,0.01,2.0
560,9.79,0.78,3.24,-0.57,-0.1,-0.0,2.0
561,9.89,0.82,2.87,-0.55,-0.13,0.0,2.0
562,9.94,0.75,2.92,-0.52,-0.03,0.0,2.0
563,9.91,0.56,2.49,-0.52,0.02,0.0,2.0
564,9.89,0.72,2.51,-0.49,0.05,0.01,2.0
565,9.87,0.67,2.68,-0.49,0.19,-0.0,2.0
566,9.75,0.81,3.41,-0.56,-0.19,0.01,2.0
567,9.67,0.8,3.39,-0.57,-0.1,0.03,2.0
568,9.78,0.83,3.17,-0.55,-0.06,0.02,2.0
569,9.88,0.89,3.27,-0.57,-0.04,0.01,2.0
570,9.89,0.77,3.08,-0.57,-0.06,0.0,2.0
571,9.84,0.86,2.93,-0.55,-0.1,0.0,2.0
572,9.62,0.79,3.62,-0.64,-0.04,-0.09,2.0
573,9.52,0.89,3.76,-0.58,-0.07,-0.02,2.0
574,9.75,0.79,3.39,-0.57,-0.12,0.02,2.0
575,9.73,0.76,3.22,-0.55,-0.2,-0.02,2.0
576,9.87,0.79,3.19,-0.53,-0.19,-0.0,2.0
577,10.13,0.59,2.92,-0.6,0.06,-0.0,2.0
578,9.85,0.57,2.91,-0.6,0.15,-0.0,2.0
579,9.94,0.69,3.47,-0.77,-0.2,-0.13,2.0
580,10.02,0.61,3.13,-0.75,-0.12,-0.08,2.0
581,9.66,0.57,3.87,-0.55,-0.1,-0.01,2.0
582,9.74,0.58,3.8,-0.53,-0.1,-0.01,2.0
583,9.76,0.59,3.56,-0.53,-0.03,-0.02,2.0
584,9.67,0.5,3.49,-0.59,-0.07,-0.03,2.0
585,9.79,0.57,3.17,-0.57,0.05,-0.04,2.0
586,9.72,0.71,3.44,-0.54,-0.14,0.01,2.0
587,9.72,0.87,3.23,-0.56,-0.16,0.0,2.0
588,9.87,0.82,3.18,-0.56,-0.09,0.0,2.0
