AccelX:9.47,AccelY:-0.84,AccelZ:2.21, GyroX:-0.50,GyroY:0.11,GyroZ:0.04
AccelX:10.14,AccelY:-0.40,AccelZ:2.35, GyroX:-0.68,GyroY:0.12,GyroZ:-0.08
AccelX:10.75,AccelY:0.10,AccelZ:2.14, GyroX:-0.44,GyroY:-0.05,GyroZ:0.15
AccelX:11.25,AccelY:-0.75,AccelZ:1.04, GyroX:-0.51,GyroY:-0.02,GyroZ:0.07
AccelX:9.32,AccelY:-0.83,AccelZ:2.28, GyroX:-0.44,GyroY:0.20,GyroZ:0.01
AccelX:10.86,AccelY:-1.18,AccelZ:3.05, GyroX:-0.69,GyroY:0.04,GyroZ:-0.21
AccelX:9.57,AccelY:-0.30,AccelZ:2.35, GyroX:-0.61,GyroY:0.04,GyroZ:-0.05
AccelX:10.85,AccelY:-0.01,AccelZ:2.47, GyroX:-0.47,GyroY:0.05,GyroZ:0.13
AccelX:11.43,AccelY:-0.81,AccelZ:1.13, GyroX:-0.63,GyroY:-0.08,GyroZ:0.00
AccelX:9.24,AccelY:-0.96,AccelZ:2.33, GyroX:-0.63,GyroY:0.26,GyroZ:0.04
AccelX:10.78,AccelY:-1.22,AccelZ:2.63, GyroX:-0.70,GyroY:0.02,GyroZ:-0.19
AccelX:9.59,AccelY:-0.44,AccelZ:2.25, GyroX:-0.70,GyroY:0.11,GyroZ:-0.08
AccelX:10.89,AccelY:0.13,AccelZ:2.58, GyroX:-0.39,GyroY:0.04,GyroZ:0.06
AccelX:10.70,AccelY:-0.38,AccelZ:1.50, GyroX:-0.67,GyroY:0.03,GyroZ:-0.03
AccelX:11.17,AccelY:-0.80,AccelZ:1.08, GyroX:-0.62,GyroY:-0.07,GyroZ:0.03
AccelX:9.47,AccelY:-0.79,AccelZ:2.39, GyroX:-0.60,GyroY:0.16,GyroZ:0.01
AccelX:10.03,AccelY:-1.35,AccelZ:2.60, GyroX:-0.73,GyroY:0.10,GyroZ:-0.15
AccelX:9.79,AccelY:-0.43,AccelZ:2.23, GyroX:-0.60,GyroY:0.11,GyroZ:-0.05
AccelX:10.69,AccelY:0.05,AccelZ:2.29, GyroX:-0.38,GyroY:0.11,GyroZ:0.13
AccelX:9.78,AccelY:-0.69,AccelZ:2.16, GyroX:-0.52,GyroY:0.18,GyroZ:0.06
