,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Mode
0,9.56,1.1,2.58,-0.94,0.16,-0.16,0.0
1,9.96,0.33,3.24,-0.86,0.47,0.03,0.0
2,10.19,0.05,4.54,-0.64,-0.03,0.09,0.0
3,9.73,-0.05,4.26,-0.48,0.17,0.09,0.0
4,9.43,-0.28,4.74,-0.57,-0.02,0.07,0.0
5,9.94,0.81,3.75,-0.47,-0.06,-0.03,0.0
6,9.72,-0.03,3.9,-0.57,0.03,0.06,0.0
7,9.87,0.76,3.71,-0.57,0.0,-0.02,0.0
8,9.39,-0.09,4.37,-0.64,0.08,-0.06,0.0
9,9.75,0.62,3.51,-0.54,-0.04,0.05,0.0
10,9.93,0.42,3.29,-0.53,-0.01,0.05,0.0
11,9.81,0.42,3.17,-0.54,-0.0,0.04,0.0
12,9.7,0.66,3.21,-0.54,0.06,0.02,0.0
13,9.03,0.73,4.09,-0.88,-0.12,-0.13,0.0
14,9.89,0.62,3.22,-0.77,0.01,-0.04,0.0
15,10.86,0.6,3.66,-0.6,0.42,0.08,0.0
16,11.04,0.56,4.05,-0.46,0.18,-0.11,0.0
17,8.79,0.6,4.15,-0.43,0.21,0.07,0.0
18,9.73,-0.2,4.0,-0.75,0.06,-0.09,0.0
19,8.94,0.52,4.61,-0.73,0.21,-0.22,0.0
20,9.25,-0.01,5.05,-0.78,0.13,-0.15,0.0
21,8.74,0.29,4.32,-0.54,-0.01,-0.11,0.0
22,10.22,0.82,4.85,-0.47,0.08,0.01,0.0
23,8.9,0.91,3.93,-0.84,-0.02,-0.04,0.0
24,10.41,0.56,4.5,-0.88,-0.36,-0.17,0.0
25,10.69,0.9,4.3,-0.46,0.24,0.05,0.0
26,9.02,0.35,4.24,-0.49,0.22,0.02,0.0
27,8.98,0.67,4.14,-0.41,0.08,0.03,0.0
28,8.81,0.51,4.15,-0.98,0.06,-0.19,0.0
29,10.15,-0.18,4.9,-0.98,0.08,-0.21,0.0
30,10.2,0.57,4.49,-0.68,0.29,-0.13,0.0
31,8.94,0.08,4.55,-0.66,-0.07,-0.04,0.0
32,9.02,0.68,4.6,-0.83,0.25,-0.06,0.0
33,9.9,0.62,4.76,-0.85,-0.28,-0.19,0.0
34,10.31,1.03,4.76,-0.53,0.2,0.03,0.0
35,8.68,0.62,4.58,-0.64,0.13,-0.06,0.0
36,9.33,0.27,4.08,-0.48,0.29,0.0,0.0
37,8.72,0.58,4.6,-0.61,0.12,0.01,0.0
38,9.66,-0.05,4.82,-0.75,-0.02,-0.07,0.0
39,8.86,0.28,4.65,-0.72,-0.03,-0.03,0.0
40,8.43,0.16,4.73,-0.58,0.2,0.01,0.0
41,8.93,0.17,4.54,-0.64,-0.08,0.0,0.0
42,8.74,0.5,4.54,-0.54,0.01,-0.06,0.0
43,9.37,0.2,3.73,-0.63,0.36,-0.05,0.0
44,8.75,0.83,4.33,-0.53,0.07,0.02,0.0
45,9.01,0.09,5.08,-0.7,0.28,-0.0,0.0
46,10.28,0.68,4.48,-0.66,0.23,-0.09,0.0
47,8.29,0.13,4.16,-0.67,0.06,-0.01,0.0
48,9.27,0.09,4.41,-0.67,0.09,-0.01,0.0
49,9.02,0.72,4.62,-0.58,0.14,0.01,0.0
50,10.2,1.0,5.08,-0.6,0.17,-0.04,0.0
51,9.03,0.72,4.29,-0.73,0.19,-0.18,0.0
52,8.51,1.16,5.01,-0.35,0.13,0.05,0.0
53,9.15,0.25,4.77,-0.62,-0.27,0.01,0.0
54,9.25,-0.01,4.91,-0.81,0.14,-0.07,0.0
55,10.7,0.36,4.98,-0.64,0.2,-0.06,0.0
56,9.14,-0.11,4.35,-0.54,0.27,0.05,0.0
57,10.58,1.26,5.1,-0.39,0.19,0.11,0.0
58,8.62,0.44,4.36,-0.48,0.2,-0.02,0.0
59,8.72,1.2,4.21,-0.47,0.04,0.04,0.0
60,9.66,-0.17,4.59,-0.97,-0.09,-0.16,0.0
61,8.9,0.45,4.96,-0.63,0.33,-0.05,0.0
62,10.92,0.8,4.81,-0.69,0.3,-0.15,0.0
63,8.17,0.5,4.14,-0.76,0.13,-0.13,0.0
64,8.64,0.56,4.73,-0.77,-0.07,-0.01,0.0
65,10.2,0.8,4.9,-0.61,0.32,-0.02,0.0
66,9.41,0.4,4.54,-0.54,0.04,-0.09,0.0
67,8.45,1.05,4.56,-0.5,0.05,-0.02,0.0
68,9.66,-0.02,4.44,-0.81,-0.11,-0.28,0.0
69,8.45,0.32,4.6,-0.84,-0.12,-0.16,0.0
70,10.11,0.57,5.51,-0.57,0.07,-0.02,0.0
71,10.75,0.57,4.88,-0.59,0.24,0.03,0.0
72,8.79,0.51,4.58,-0.78,0.09,-0.06,0.0
73,10.44,0.78,5.19,-0.47,0.41,0.05,0.0
74,8.88,0.6,3.92,-0.6,0.28,-0.01,0.0
75,8.74,0.51,4.87,-0.49,-0.22,0.37,0.0
76,9.7,-0.12,4.27,-0.84,0.01,-0.15,0.0
77,9.7,-0.28,4.83,-0.79,0.06,-0.17,0.0
78,10.5,-0.02,5.09,-0.53,0.25,-0.07,0.0
79,8.29,-0.05,4.62,-0.74,-0.04,-0.02,0.0
80,11.34,0.58,4.67,-0.29,0.2,0.06,0.0
81,8.75,0.46,4.07,-0.54,0.0,0.06,0.0
82,9.27,-0.04,4.14,-0.93,0.0,-0.11,0.0
83,9.59,-0.19,5.14,-0.86,0.03,-0.1,0.0
84,10.96,0.86,4.42,-0.42,0.29,-0.09,0.0
85,9.88,0.54,5.23,-0.37,0.03,0.05,0.0
86,11.55,0.12,4.9,-0.46,0.25,0.01,0.0
87,8.49,0.73,3.94,-0.5,0.03,0.03,0.0
88,10.0,-0.33,4.43,-0.88,-0.01,-0.11,0.0
89,9.42,0.19,5.18,-0.64,0.01,-0.05,0.0
90,11.61,1.08,4.9,-0.36,0.22,0.07,0.0
91,8.57,0.67,3.62,-0.45,-0.17,-0.0,0.0
92,9.06,0.78,3.48,-0.45,-0.1,-0.03,0.0
93,10.78,0.96,5.2,-0.6,0.2,0.03,0.0
94,11.43,-0.5,3.94,-0.54,-0.35,0.09,0.0
95,8.67,1.18,3.69,-0.28,-0.03,0.11,0.0
96,9.93,-0.13,4.0,-0.78,-0.12,0.03,0.0
97,9.0,0.42,3.71,-0.7,-0.04,0.06,0.0
98,9.58,-0.26,4.49,-0.78,0.23,-0.06,0.0
99,11.65,1.07,4.9,-0.58,0.14,-0.15,0.0
100,8.76,0.06,3.58,-0.54,-0.04,0.0,0.0
101,8.94,1.35,4.46,-0.57,0.21,-0.03,0.0
102,10.93,0.51,5.19,-0.53,0.21,0.1,0.0
103,11.74,-0.09,4.01,-0.64,-0.12,0.02,0.0
104,8.61,0.63,4.11,-0.42,0.03,0.01,0.0
105,9.81,-0.16,4.04,-0.76,-0.09,-0.02,0.0
106,9.42,0.55,4.96,-0.65,0.08,-0.03,0.0
107,9.99,0.2,4.99,-0.65,0.1,0.01,0.0
108,11.05,1.05,5.04,-0.53,0.08,-0.1,0.0
109,12.44,0.22,3.72,-0.98,-0.42,-0.24,0.0
110,9.51,1.09,3.34,-0.33,-0.11,-0.05,0.0
111,9.56,1.39,4.55,-0.38,0.22,-0.12,0.0
112,11.76,0.85,4.83,-0.62,0.32,0.11,0.0
113,11.7,0.28,3.99,-0.59,-0.26,0.13,0.0
114,8.52,0.83,3.65,-0.41,0.11,0.01,0.0
115,10.25,0.07,3.9,-0.81,-0.14,-0.01,0.0
116,10.12,-0.11,4.89,-0.72,0.15,-0.08,0.0
117,11.41,1.68,4.38,-0.71,0.22,-0.23,0.0
118,11.68,0.13,4.04,-0.78,-0.45,-0.11,0.0
119,8.45,0.79,3.4,-0.43,0.1,0.02,0.0
120,9.14,1.43,4.69,-0.73,0.23,-0.06,0.0
121,8.66,1.13,3.45,-0.08,0.0,0.06,0.0
122,10.11,-0.3,3.92,-0.75,-0.04,-0.09,0.0
123,9.11,0.67,4.76,-0.75,0.18,-0.12,0.0
124,9.5,0.02,4.93,-0.76,0.14,-0.11,0.0
125,11.32,1.94,4.59,-0.71,0.16,-0.19,0.0
126,8.93,1.24,3.76,-0.7,-0.01,0.02,0.0
127,9.69,0.82,4.91,-0.78,0.16,-0.06,0.0
128,9.37,0.42,5.07,-0.61,0.15,-0.01,0.0
129,8.93,0.51,3.22,-0.61,0.04,0.11,0.0
130,9.58,-0.07,3.83,-0.69,0.03,-0.06,0.0
131,9.11,0.14,3.94,-0.62,0.04,0.01,0.0
132,9.08,0.32,4.13,-0.63,0.04,-0.01,0.0
133,9.34,0.29,5.09,-0.84,0.15,-0.06,0.0
134,9.16,-0.02,4.08,-0.38,-0.12,-0.01,0.0
135,9.56,1.58,4.31,-0.56,0.15,-0.1,0.0
136,11.54,0.26,4.94,-0.65,0.23,0.07,0.0
137,11.09,-0.11,4.0,-0.59,-0.19,0.06,0.0
138,8.9,0.79,3.63,-0.36,0.03,-0.01,0.0
139,9.72,-0.09,4.03,-0.71,-0.14,-0.01,0.0
140,9.62,0.48,4.76,-0.76,0.18,-0.08,0.0
141,9.71,-0.17,4.79,-0.72,0.21,-0.04,0.0
142,11.99,0.3,3.79,-0.83,-0.39,-0.17,0.0
143,8.39,0.79,3.82,-0.54,0.08,0.01,0.0
144,11.18,0.26,5.5,-0.56,0.23,0.16,0.0
145,11.48,-0.17,3.82,-0.41,-0.43,-0.06,0.0
146,8.82,0.45,3.92,-0.46,-0.02,-0.01,0.0
147,9.33,0.57,3.64,-1.06,-0.06,-0.15,0.0
148,9.09,0.25,3.76,-1.1,0.03,-0.1,0.0
149,9.79,-0.24,4.94,-1.11,0.09,-0.23,0.0
150,8.57,0.29,4.19,-0.73,-0.04,0.01,0.0
151,10.28,0.8,4.89,-0.44,0.07,0.09,0.0
152,11.3,-0.35,4.51,-0.27,0.37,0.13,0.0
153,8.32,0.33,4.53,-0.47,0.2,-0.02,0.0
154,9.47,-0.33,4.96,-0.89,-0.07,-0.13,0.0
155,9.87,-0.46,5.78,-0.77,0.12,-0.04,0.0
156,8.01,-0.03,4.21,-0.48,-0.16,0.04,0.0
157,9.32,0.6,3.68,-0.4,-0.17,0.01,0.0
158,10.18,0.49,4.54,-0.44,-0.04,0.01,0.0
159,12.14,0.01,4.09,-0.45,0.3,0.07,0.0
160,8.48,0.43,3.85,-0.49,0.17,-0.04,0.0
161,9.79,-0.41,4.34,-0.97,-0.12,-0.2,0.0
162,9.75,0.08,5.29,-0.7,0.18,-0.13,0.0
163,8.88,1.01,3.86,-0.58,-0.09,-0.02,0.0
164,10.07,0.3,4.75,-0.55,-0.03,0.02,0.0
165,10.24,0.02,5.09,-0.22,0.35,0.18,0.0
166,8.62,0.29,4.1,-0.31,0.12,0.04,0.0
167,8.77,0.0,3.81,-0.86,-0.13,-0.12,0.0
168,9.95,-0.12,5.28,-0.79,0.05,-0.08,0.0
169,11.02,1.06,4.44,-0.22,0.38,0.01,0.0
170,8.56,0.41,4.05,-0.74,-0.25,0.02,0.0
171,10.33,0.6,4.9,-0.57,0.14,0.0,0.0
172,12.75,0.08,3.64,-0.28,-0.47,-0.0,0.0
173,8.04,0.58,4.26,-0.36,0.07,0.06,0.0
174,9.6,-0.13,4.36,-0.66,-0.14,-0.05,0.0
175,8.77,0.45,3.79,-0.67,0.01,-0.01,0.0
176,9.67,0.1,4.88,-0.81,-0.01,-0.08,0.0
177,10.28,0.41,4.0,-0.56,-0.15,-0.04,0.0
178,8.73,0.76,3.97,-0.5,0.18,-0.01,0.0
179,10.11,0.32,4.99,-0.54,0.17,0.01,0.0
180,11.37,0.45,5.13,-0.39,0.45,0.05,0.0
181,8.29,0.69,4.65,-0.43,0.1,0.03,0.0
182,9.35,-0.3,4.41,-0.96,-0.12,-0.15,0.0
183,9.95,-0.22,5.32,-1.03,-0.08,-0.09,0.0
184,10.68,0.32,5.09,-0.51,0.15,-0.06,0.0
185,8.49,0.64,4.38,-0.43,0.02,-0.02,0.0
186,9.97,0.37,4.91,-0.5,-0.06,-0.02,0.0
187,8.18,0.71,4.36,-0.35,0.03,-0.01,0.0
188,9.44,-0.12,4.34,-0.86,-0.07,-0.21,0.0
189,8.54,0.17,4.22,-0.93,-0.02,-0.16,0.0
190,9.97,-0.03,5.27,-1.02,-0.03,-0.19,0.0
191,8.17,0.83,4.44,-0.45,-0.14,0.08,0.0
192,8.89,1.08,3.43,-0.5,0.01,0.07,0.0
193,10.37,0.3,4.85,-0.61,0.11,0.01,0.0
194,10.17,0.4,4.91,-0.37,0.23,0.12,0.0
195,11.21,-0.01,4.81,-0.34,0.27,0.16,0.0
196,12.33,-0.81,3.89,-0.54,-0.48,-0.03,0.0
197,8.1,0.13,4.3,-0.61,0.02,-0.04,0.0
198,9.61,-0.58,3.94,-1.11,0.03,-0.25,0.0
199,9.6,-0.44,5.09,-0.89,0.04,-0.19,0.0
200,8.78,0.37,4.45,-0.57,-0.12,-0.04,0.0
201,10.14,0.35,5.13,-0.45,0.05,-0.03,0.0
202,11.96,0.19,4.67,-0.23,0.18,0.06,0.0
203,11.88,0.09,3.87,-0.41,-0.43,0.03,0.0
204,8.52,0.28,4.12,-0.57,0.14,0.06,0.0
205,9.3,-0.35,4.19,-1.13,-0.04,-0.25,0.0
206,9.75,-0.21,5.41,-0.96,0.13,-0.16,0.0
