Time:28253, AccelX:9.27,AccelY:0.09,AccelZ:4.41, GyroX:-0.67,GyroY:0.09,GyroZ:-0.01
Time:28320, AccelX:9.02,AccelY:0.72,AccelZ:4.62, GyroX:-0.58,GyroY:0.14,GyroZ:0.01
Time:28886, AccelX:10.20,AccelY:1.00,AccelZ:5.08, GyroX:-0.60,GyroY:0.17,GyroZ:-0.04
Time:28963, AccelX:9.03,AccelY:0.72,AccelZ:4.29, GyroX:-0.73,GyroY:0.19,GyroZ:-0.18
Time:29258, AccelX:8.51,AccelY:1.16,AccelZ:5.01, GyroX:-0.35,GyroY:0.13,GyroZ:0.05
Time:29387, AccelX:9.15,AccelY:0.25,AccelZ:4.77, GyroX:-0.62,GyroY:-0.27,GyroZ:0.01
Time:29817, AccelX:9.25,AccelY:-0.01,AccelZ:4.91, GyroX:-0.81,GyroY:0.14,GyroZ:-0.07
Time:29873, AccelX:10.70,AccelY:0.36,AccelZ:4.98, GyroX:-0.64,GyroY:0.20,GyroZ:-0.06
Time:29950, AccelX:9.14,AccelY:-0.11,AccelZ:4.35, GyroX:-0.54,GyroY:0.27,GyroZ:0.05
Time:30724, AccelX:10.58,AccelY:1.26,AccelZ:5.10, GyroX:-0.39,GyroY:0.19,GyroZ:0.11
Time:30822, AccelX:8.62,AccelY:0.44,AccelZ:4.36, GyroX:-0.48,GyroY:0.20,GyroZ:-0.02
Time:31065, AccelX:8.72,AccelY:1.20,AccelZ:4.21, GyroX:-0.47,GyroY:0.04,GyroZ:0.04
Time:31152, AccelX:9.66,AccelY:-0.17,AccelZ:4.59, GyroX:-0.97,GyroY:-0.09,GyroZ:-0.16
Time:31562, AccelX:8.90,AccelY:0.45,AccelZ:4.96, GyroX:-0.63,GyroY:0.33,GyroZ:-0.05
Time:31618, AccelX:10.92,AccelY:0.80,AccelZ:4.81, GyroX:-0.69,GyroY:0.30,GyroZ:-0.15
Time:31695, AccelX:8.17,AccelY:0.50,AccelZ:4.14, GyroX:-0.76,GyroY:0.13,GyroZ:-0.13
