Time:103043, AccelX:10.10,AccelY:1.29,AccelZ:2.04, GyroX:-0.65,GyroY:-0.00,GyroZ:-0.01
Time:104774, AccelX:9.66,AccelY:1.53,AccelZ:2.15, GyroX:-0.56,GyroY:0.00,GyroZ:-0.06
Time:105215, AccelX:9.72,AccelY:1.26,AccelZ:3.61, GyroX:-0.33,GyroY:-0.04,GyroZ:0.04
Time:105281, AccelX:9.99,AccelY:1.68,AccelZ:1.67, GyroX:-0.38,GyroY:0.10,GyroZ:-0.06
Time:106606, AccelX:10.04,AccelY:1.45,AccelZ:2.42, GyroX:-0.44,GyroY:-0.22,GyroZ:0.00
Time:106776, AccelX:10.00,AccelY:1.30,AccelZ:2.15, GyroX:-0.59,GyroY:-0.13,GyroZ:-0.03
Time:106895, AccelX:10.12,AccelY:1.25,AccelZ:1.98, GyroX:-0.66,GyroY:-0.06,GyroZ:-0.04
Time:128687, AccelX:9.75,AccelY:1.23,AccelZ:3.38, GyroX:-0.63,GyroY:0.07,GyroZ:-0.03
Time:137916, AccelX:9.89,AccelY:1.28,AccelZ:2.60, GyroX:-0.61,GyroY:-0.08,GyroZ:-0.06
Time:149142, AccelX:9.02,AccelY:1.97,AccelZ:4.88, GyroX:-0.71,GyroY:0.18,GyroZ:-0.01
Time:149177, AccelX:8.87,AccelY:0.47,AccelZ:4.42, GyroX:-0.75,GyroY:-0.06,GyroZ:-0.01
Time:149233, AccelX:9.35,AccelY:0.24,AccelZ:4.14, GyroX:-0.56,GyroY:-0.22,GyroZ:-0.07
Time:149456, AccelX:9.71,AccelY:1.24,AccelZ:3.47, GyroX:-0.57,GyroY:-0.14,GyroZ:-0.02
Time:149522, AccelX:9.71,AccelY:0.91,AccelZ:3.28, GyroX:-0.54,GyroY:-0.15,GyroZ:-0.02
Time:149568, AccelX:9.98,AccelY:1.24,AccelZ:3.15, GyroX:-0.59,GyroY:-0.06,GyroZ:-0.06
Time:149655, AccelX:9.62,AccelY:1.05,AccelZ:3.19, GyroX:-0.68,GyroY:-0.01,GyroZ:-0.04
Time:168796, AccelX:9.98,AccelY:1.02,AccelZ:2.79, GyroX:-0.70,GyroY:0.78,GyroZ:-0.03
Time:168831, AccelX:9.06,AccelY:0.72,AccelZ:4.83, GyroX:-0.65,GyroY:0.27,GyroZ:-0.03
Time:168960, AccelX:9.42,AccelY:0.91,AccelZ:4.64, GyroX:-0.51,GyroY:-0.26,GyroZ:-0.03
Time:169005, AccelX:10.01,AccelY:1.18,AccelZ:3.58, GyroX:-0.66,GyroY:0.37,GyroZ:-0.03
Time:169051, AccelX:9.45,AccelY:0.83,AccelZ:4.37, GyroX:-0.62,GyroY:0.16,GyroZ:-0.04
Time:169294, AccelX:9.06,AccelY:0.76,AccelZ:4.98, GyroX:-0.64,GyroY:0.12,GyroZ:-0.01
Time:171233, AccelX:9.56,AccelY:0.96,AccelZ:3.56, GyroX:-0.57,GyroY:0.01,GyroZ:-0.02
Time:171258, AccelX:9.18,AccelY:1.10,AccelZ:4.25, GyroX:-0.55,GyroY:0.16,GyroZ:-0.04
Time:171605, AccelX:10.14,AccelY:0.63,AccelZ:3.04, GyroX:-0.55,GyroY:-0.28,GyroZ:-0.03
Time:171869, AccelX:9.24,AccelY:1.22,AccelZ:3.94, GyroX:-0.69,GyroY:0.13,GyroZ:-0.08
Time:172248, AccelX:9.41,AccelY:0.73,AccelZ:3.39, GyroX:-0.59,GyroY:-0.04,GyroZ:-0.01
Time:174675, AccelX:9.72,AccelY:1.19,AccelZ:3.33, GyroX:-0.58,GyroY:-0.11,GyroZ:-0.03
Time:174700, AccelX:9.66,AccelY:1.18,AccelZ:3.40, GyroX:-0.57,GyroY:-0.09,GyroZ:-0.02
Time:191989, AccelX:9.91,AccelY:1.29,AccelZ:2.75, GyroX:-0.58,GyroY:-0.15,GyroZ:-0.03
Time:192035, AccelX:9.87,AccelY:1.34,AccelZ:2.68, GyroX:-0.57,GyroY:-0.15,GyroZ:-0.03
Time:192080, AccelX:9.89,AccelY:1.24,AccelZ:2.55, GyroX:-0.62,GyroY:-0.15,GyroZ:-0.01
Time:192147, AccelX:10.02,AccelY:1.32,AccelZ:2.54, GyroX:-0.56,GyroY:-0.10,GyroZ:-0.02
Time:192172, AccelX:10.00,AccelY:1.29,AccelZ:2.40, GyroX:-0.58,GyroY:-0.09,GyroZ:-0.02
Time:192259, AccelX:10.02,AccelY:1.37,AccelZ:2.27, GyroX:-0.60,GyroY:-0.06,GyroZ:-0.03
Time:192461, AccelX:10.09,AccelY:1.48,AccelZ:2.20, GyroX:-0.64,GyroY:0.02,GyroZ:0.03
Time:207660, AccelX:9.75,AccelY:0.59,AccelZ:3.19, GyroX:-0.60,GyroY:0.04,GyroZ:0.00
Time:209463, AccelX:9.59,AccelY:1.12,AccelZ:3.10, GyroX:-0.52,GyroY:0.12,GyroZ:-0.00
Time:216976, AccelX:9.66,AccelY:1.42,AccelZ:3.21, GyroX:-0.74,GyroY:-0.09,GyroZ:-0.14
Time:225123, AccelX:9.97,AccelY:1.52,AccelZ:1.90, GyroX:-0.48,GyroY:-0.13,GyroZ:0.03
Time:225190, AccelX:10.02,AccelY:1.52,AccelZ:2.00, GyroX:-0.50,GyroY:-0.05,GyroZ:0.02
Time:232942, AccelX:9.89,AccelY:0.85,AccelZ:2.95, GyroX:-0.68,GyroY:0.15,GyroZ:0.05
Time:235660, AccelX:9.95,AccelY:1.28,AccelZ:2.98, GyroX:-0.57,GyroY:-0.05,GyroZ:-0.03
Time:241446, AccelX:9.54,AccelY:1.22,AccelZ:3.88, GyroX:-0.50,GyroY:0.14,GyroZ:0.01
Time:242626, AccelX:10.21,AccelY:1.60,AccelZ:3.59, GyroX:-0.68,GyroY:1.34,GyroZ:-0.15
Time:242651, AccelX:8.19,AccelY:0.84,AccelZ:5.37, GyroX:-0.75,GyroY:0.75,GyroZ:-0.07
Time:243550, AccelX:9.60,AccelY:1.21,AccelZ:3.58, GyroX:-0.63,GyroY:-0.06,GyroZ:-0.04
Time:243689, AccelX:9.79,AccelY:1.10,AccelZ:3.36, GyroX:-0.63,GyroY:-0.08,GyroZ:-0.02
Time:243787, AccelX:9.73,AccelY:1.16,AccelZ:3.22, GyroX:-0.59,GyroY:-0.09,GyroZ:-0.02
Time:261659, AccelX:9.27,AccelY:1.52,AccelZ:4.66, GyroX:-0.54,GyroY:-0.08,GyroZ:-0.02
Time:261902, AccelX:9.38,AccelY:1.44,AccelZ:4.38, GyroX:-0.60,GyroY:-0.06,GyroZ:-0.02
Time:276206, AccelX:9.58,AccelY:1.41,AccelZ:3.55, GyroX:-0.64,GyroY:-0.10,GyroZ:-0.03
Time:276231, AccelX:9.74,AccelY:1.45,AccelZ:3.53, GyroX:-0.65,GyroY:-0.09,GyroZ:-0.04
Time:283609, AccelX:9.34,AccelY:1.16,AccelZ:4.56, GyroX:-0.54,GyroY:-0.19,GyroZ:0.02
Time:283655, AccelX:9.44,AccelY:1.11,AccelZ:4.29, GyroX:-0.56,GyroY:-0.18,GyroZ:0.01
Time:283732, AccelX:9.55,AccelY:1.07,AccelZ:4.35, GyroX:-0.52,GyroY:-0.14,GyroZ:-0.02
Time:283767, AccelX:9.62,AccelY:0.93,AccelZ:4.46, GyroX:-0.54,GyroY:-0.04,GyroZ:-0.01
Time:283802, AccelX:9.32,AccelY:1.13,AccelZ:4.27, GyroX:-0.53,GyroY:-0.05,GyroZ:-0.00
Time:284493, AccelX:9.55,AccelY:1.28,AccelZ:3.90, GyroX:-0.60,GyroY:-0.16,GyroZ:-0.04
Time:284591, AccelX:9.56,AccelY:1.26,AccelZ:3.69, GyroX:-0.59,GyroY:-0.17,GyroZ:-0.04
Time:284678, AccelX:9.63,AccelY:1.28,AccelZ:3.61, GyroX:-0.59,GyroY:-0.19,GyroZ:-0.02
Time:284787, AccelX:9.82,AccelY:1.27,AccelZ:3.45, GyroX:-0.60,GyroY:-0.12,GyroZ:-0.02
